"Key","Title","Description","CategoryGroupID"
"NL01  ","Nederland","",
"LD01  ","Noord-Nederland (LD)","Noord-Nederland: Groningen, Friesland, Drenthe

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD02  ","Oost-Nederland (LD)","Oost-Nederland: Overijssel, Flevoland, Gelderland

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD03  ","West-Nederland (LD)","West-Nederland: Utrecht, Noord-Holland, Zuid-Holland, Zeeland

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"LD04  ","Zuid-Nederland (LD)","Zuid-Nederland: Noord-Brabant, Limburg

LD = Landsdeel

Regionale groepering van provincies. Nederland telt 4 landsdelen.",
"PV20  ","Groningen (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV21  ","Friesland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV22  ","Drenthe (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV23  ","Overijssel (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV24  ","Flevoland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV25  ","Gelderland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV26  ","Utrecht (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV27  ","Noord-Holland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV28  ","Zuid-Holland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV29  ","Zeeland (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV30  ","Noord-Brabant (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"PV31  ","Limburg (PV)","PV = Provincie

Bestuurlijke onderverdeling van het Nederlands grondgebied. Sinds het
instellen van de provincie Flevoland per 1 januari 1986 telt Nederland 12
provincies.",
"CR01  ","Oost-Groningen (CR)","CR = COROP-gebied

Regionaal niveau tussen gemeenten en provincies in. In 1970 ontworpen door
de Coördinatie Commissie Regionaal Onderzoeksprogramma, waaraan de
indeling haar naam dankt. Nederland telt 40 COROP-gebieden.",
