"Key","Title","Description","CategoryGroupID"
"  99","Totaal alle leeftijden",,
"   1","Jonger dan 15 jaar","Leeftijd op het moment van overlijden.",
"   2","15 tot 20 jaar","Leeftijd op het moment van overlijden.",
"   3","20 tot 30 jaar","Leeftijd op het moment van overlijden.",
"   4","30 tot 40 jaar","Leeftijd op het moment van overlijden.",
"   5","40 tot 50 jaar","Leeftijd op het moment van overlijden.",
"   6","50 tot 60 jaar","Leeftijd op het moment van overlijden.",
"   7","60 tot 70 jaar","Leeftijd op het moment van overlijden.",
"   8","70 tot 80 jaar","Leeftijd op het moment van overlijden.",
"   9","80 jaar of ouder","Leeftijd op het moment van overlijden.",
