"ID","Geslacht","Leeftijd","RegioS","Perioden","TotaalVerkeersdoden_1"
0,"   3","  99","NL01","1996JJ00","    1251"
1,"   3","  99","NL01","1997JJ00","    1235"
2,"   3","  99","NL01","1998JJ00","    1149"
3,"   3","  99","NL01","1999JJ00","    1186"
4,"   3","  99","NL01","2000JJ00","    1166"
5,"   3","  99","NL01","2001JJ00","    1083"
6,"   3","  99","NL01","2002JJ00","    1066"
7,"   3","  99","NL01","2003JJ00","    1088"
8,"   3","  99","NL01","2004JJ00","     881"
9,"   3","  99","NL01","2005JJ00","     817"
10,"   3","  99","NL01","2006JJ00","     811"
11,"   3","  99","NL01","2007JJ00","     791"
12,"   3","  99","NL01","2008JJ00","     750"
13,"   3","  99","NL01","2009JJ00","     720"
14,"   3","  99","NL01","2010JJ00","     640"
15,"   3","  99","NL01","2011JJ00","     661"
16,"   3","  99","NL01","2012JJ00","     650"
17,"   3","  99","NL01","2013JJ00","     570"
18,"   3","  99","NL01","2014JJ00","     570"
19,"   3","  99","NL01","2015JJ00","     621"
20,"   3","  99","PV20","1996JJ00","      48"
21,"   3","  99","PV20","1997JJ00","      49"
22,"   3","  99","PV20","1998JJ00","      41"
23,"   3","  99","PV20","1999JJ00","      33"
24,"   3","  99","PV20","2000JJ00","      34"
25,"   3","  99","PV20","2001JJ00","      43"
26,"   3","  99","PV20","2002JJ00","      57"
27,"   3","  99","PV20","2003JJ00","      53"
28,"   3","  99","PV20","2004JJ00","      42"
29,"   3","  99","PV20","2005JJ00","      21"
30,"   3","  99","PV20","2006JJ00","      31"
31,"   3","  99","PV20","2007JJ00","      23"
32,"   3","  99","PV20","2008JJ00","      36"
33,"   3","  99","PV20","2009JJ00","      29"
34,"   3","  99","PV20","2010JJ00","      25"
35,"   3","  99","PV20","2011JJ00","      26"
36,"   3","  99","PV20","2012JJ00","      18"
37,"   3","  99","PV20","2013JJ00","      28"
38,"   3","  99","PV20","2014JJ00","      19"
39,"   3","  99","PV20","2015JJ00","      28"
40,"   3","  99","PV21","1996JJ00","      71"
41,"   3","  99","PV21","1997JJ00","      58"
42,"   3","  99","PV21","1998JJ00","      50"
43,"   3","  99","PV21","1999JJ00","      82"
44,"   3","  99","PV21","2000JJ00","      64"
45,"   3","  99","PV21","2001JJ00","      47"
46,"   3","  99","PV21","2002JJ00","      47"
47,"   3","  99","PV21","2003JJ00","      64"
48,"   3","  99","PV21","2004JJ00","      44"
49,"   3","  99","PV21","2005JJ00","      48"
50,"   3","  99","PV21","2006JJ00","      39"
51,"   3","  99","PV21","2007JJ00","      34"
52,"   3","  99","PV21","2008JJ00","      34"
53,"   3","  99","PV21","2009JJ00","      28"
54,"   3","  99","PV21","2010JJ00","      27"
55,"   3","  99","PV21","2011JJ00","      30"
56,"   3","  99","PV21","2012JJ00","      29"
57,"   3","  99","PV21","2013JJ00","      22"
58,"   3","  99","PV21","2014JJ00","      29"
59,"   3","  99","PV21","2015JJ00","      33"
60,"   3","  99","PV22","1996JJ00","      46"
61,"   3","  99","PV22","1997JJ00","      59"
62,"   3","  99","PV22","1998JJ00","      53"
63,"   3","  99","PV22","1999JJ00","      44"
64,"   3","  99","PV22","2000JJ00","      46"
65,"   3","  99","PV22","2001JJ00","      56"
66,"   3","  99","PV22","2002JJ00","      55"
67,"   3","  99","PV22","2003JJ00","      49"
68,"   3","  99","PV22","2004JJ00","      34"
69,"   3","  99","PV22","2005JJ00","      32"
70,"   3","  99","PV22","2006JJ00","      42"
71,"   3","  99","PV22","2007JJ00","      40"
72,"   3","  99","PV22","2008JJ00","      35"
73,"   3","  99","PV22","2009JJ00","      34"
74,"   3","  99","PV22","2010JJ00","      30"
75,"   3","  99","PV22","2011JJ00","      30"
76,"   3","  99","PV22","2012JJ00","      33"
77,"   3","  99","PV22","2013JJ00","      35"
78,"   3","  99","PV22","2014JJ00","      26"
79,"   3","  99","PV22","2015JJ00","      31"
80,"   3","  99","PV23","1996JJ00","     112"
81,"   3","  99","PV23","1997JJ00","     104"
82,"   3","  99","PV23","1998JJ00","      86"
83,"   3","  99","PV23","1999JJ00","     104"
84,"   3","  99","PV23","2000JJ00","      80"
85,"   3","  99","PV23","2001JJ00","      84"
86,"   3","  99","PV23","2002JJ00","      65"
87,"   3","  99","PV23","2003JJ00","      89"
88,"   3","  99","PV23","2004JJ00","      72"
89,"   3","  99","PV23","2005JJ00","      70"
90,"   3","  99","PV23","2006JJ00","      61"
91,"   3","  99","PV23","2007JJ00","      50"
92,"   3","  99","PV23","2008JJ00","      53"
93,"   3","  99","PV23","2009JJ00","      63"
94,"   3","  99","PV23","2010JJ00","      53"
95,"   3","  99","PV23","2011JJ00","      49"
96,"   3","  99","PV23","2012JJ00","      65"
97,"   3","  99","PV23","2013JJ00","      52"
98,"   3","  99","PV23","2014JJ00","      52"
99,"   3","  99","PV23","2015JJ00","      41"
100,"   3","  99","PV24","1996JJ00","      24"
101,"   3","  99","PV24","1997JJ00","      30"
102,"   3","  99","PV24","1998JJ00","      21"
103,"   3","  99","PV24","1999JJ00","      27"
104,"   3","  99","PV24","2000JJ00","      39"
105,"   3","  99","PV24","2001JJ00","      19"
106,"   3","  99","PV24","2002JJ00","      23"
107,"   3","  99","PV24","2003JJ00","      34"
108,"   3","  99","PV24","2004JJ00","      22"
109,"   3","  99","PV24","2005JJ00","      20"
110,"   3","  99","PV24","2006JJ00","      12"
111,"   3","  99","PV24","2007JJ00","      16"
112,"   3","  99","PV24","2008JJ00","      12"
113,"   3","  99","PV24","2009JJ00","      14"
114,"   3","  99","PV24","2010JJ00","      21"
115,"   3","  99","PV24","2011JJ00","      14"
116,"   3","  99","PV24","2012JJ00","      14"
117,"   3","  99","PV24","2013JJ00","      11"
118,"   3","  99","PV24","2014JJ00","       9"
119,"   3","  99","PV24","2015JJ00","      12"
120,"   3","  99","PV25","1996JJ00","     159"
121,"   3","  99","PV25","1997JJ00","     185"
122,"   3","  99","PV25","1998JJ00","     135"
123,"   3","  99","PV25","1999JJ00","     175"
124,"   3","  99","PV25","2000JJ00","     169"
125,"   3","  99","PV25","2001JJ00","     122"
126,"   3","  99","PV25","2002JJ00","     140"
127,"   3","  99","PV25","2003JJ00","     148"
128,"   3","  99","PV25","2004JJ00","     131"
129,"   3","  99","PV25","2005JJ00","     116"
130,"   3","  99","PV25","2006JJ00","     131"
131,"   3","  99","PV25","2007JJ00","     116"
132,"   3","  99","PV25","2008JJ00","     124"
133,"   3","  99","PV25","2009JJ00","      97"
134,"   3","  99","PV25","2010JJ00","      84"
135,"   3","  99","PV25","2011JJ00","      85"
136,"   3","  99","PV25","2012JJ00","      98"
137,"   3","  99","PV25","2013JJ00","      99"
138,"   3","  99","PV25","2014JJ00","      77"
139,"   3","  99","PV25","2015JJ00","      83"
140,"   3","  99","PV26","1996JJ00","      89"
141,"   3","  99","PV26","1997JJ00","      75"
142,"   3","  99","PV26","1998JJ00","      65"
143,"   3","  99","PV26","1999JJ00","      76"
144,"   3","  99","PV26","2000JJ00","      57"
145,"   3","  99","PV26","2001JJ00","      55"
146,"   3","  99","PV26","2002JJ00","      53"
147,"   3","  99","PV26","2003JJ00","      55"
148,"   3","  99","PV26","2004JJ00","      45"
149,"   3","  99","PV26","2005JJ00","      50"
150,"   3","  99","PV26","2006JJ00","      45"
151,"   3","  99","PV26","2007JJ00","      54"
152,"   3","  99","PV26","2008JJ00","      51"
153,"   3","  99","PV26","2009JJ00","      42"
154,"   3","  99","PV26","2010JJ00","      38"
155,"   3","  99","PV26","2011JJ00","      38"
156,"   3","  99","PV26","2012JJ00","      34"
157,"   3","  99","PV26","2013JJ00","      23"
158,"   3","  99","PV26","2014JJ00","      34"
159,"   3","  99","PV26","2015JJ00","      36"
160,"   3","  99","PV27","1996JJ00","     157"
161,"   3","  99","PV27","1997JJ00","     149"
162,"   3","  99","PV27","1998JJ00","     162"
163,"   3","  99","PV27","1999JJ00","     154"
164,"   3","  99","PV27","2000JJ00","     166"
