"odata.type","ID","Position","ParentID","Type","Key","Title","Description","ReleasePolicy","Datatype","Unit","Decimals","Default"
"Cbs.OData.Dimension",0,0,,"Dimension","Geslacht","Geslacht","",,,,,
"Cbs.OData.Dimension",1,1,,"Dimension","Leeftijd","Leeftijd","",,,,,
"Cbs.OData.TimeDimension",2,2,,"TimeDimension","Perioden","Perioden","",TRUE,,,,
"Cbs.OData.TopicGroup",3,,,"TopicGroup","","Dodelijke ongevallen (aantallen)","Ieder overlijden dat het gevolg is van een ongeval, zoals vervoersongeval, val, verdrinking en vergiftiging. Het ongeval kan in het buitenland hebben plaatsgevonden. Euthanasie en geweld waaronder moord, zelfdoding en doodslag vallen niet onder ongevallen en daarmee buiten deze tabel. Ook complicaties van medische behandelingen, verslikking en wettelijke interventie wordt niet bij de ongevallen geteld. 
De ICD-10 doodsoorzaakcodes die hierbij horen zijn V01-W77, W80-X59, Y10-Y19, Y34 en Y85-Y86.",,,,,
"Cbs.OData.Topic",4,3,3,"Topic","TotaalDodelijkeOngevallen_1","Totaal dodelijke ongevallen","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V01-W77, W80-X59, Y10-Y19, Y34 en Y85-Y86.",,"Integer","aantal",0,"Impossible"
"Cbs.OData.TopicGroup",5,,3,"TopicGroup","","Dodelijke vervoersongevallen","Een vervoersongeval is elk ongeval waarbij een hulpmiddel betrokken is dat primair ontworpen is voor- of op het betrokken tijdstip gebruikt is voor – vervoer van personen of goederen van de ene naar de andere plaats. 
De ICD-10 doodsoorzaakcodes die hierbij horen zijn V01-V99.",,,,,
"Cbs.OData.Topic",6,4,5,"Topic","TotaalDodelijkeVervoersongevallen_2","Totaal dodelijke vervoersongevallen","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V01-V99.",,"Integer","aantal",0,"Impossible"
"Cbs.OData.TopicGroup",7,,5,"TopicGroup","","Wijze van deelname slachtoffer","",,,,,
"Cbs.OData.Topic",8,5,7,"Topic","Voetganger_3","Voetganger","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V01-V09.",,"Integer","aantal",0,"Impossible"
"Cbs.OData.Topic",9,6,7,"Topic","Fiets_4","Fiets","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V10-V19. Inclusief elektrische fiets.",,"Integer","aantal",0,"Impossible"
"Cbs.OData.Topic",10,7,7,"Topic","BromEnSnorfietsEnBrommobiel_5","Brom- en snorfiets en brommobiel","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V20-V29, plus de aanduiding dat het soort voertuig een brommobiel, bromfiets of snorfiets is. ",,"Integer","aantal",0,"Impossible"
"Cbs.OData.Topic",11,8,7,"Topic","GemotInvalidenvoertuigScootmobiel_6","Gemot. invalidenvoertuig, scootmobiel","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V30-V39 plus de aanduiding dat het soort voertuig een gemotoriseerd invalidevoertuig of scootmobiel is.",,"Integer","aantal",0,"Impossible"
"Cbs.OData.Topic",12,9,7,"Topic","Motorfiets_7","Motorfiets","De ICD-10 doodsoorzaakcodes die hierbij horen zijn V20-V29, plus de aanduiding dat het soort voertuig een motor is.",,"Long","aantal",0,"Impossible"
