"Key","Title","Description","Status"
"1996JJ00","1996",,"Definitief"
"1997JJ00","1997",,"Definitief"
"1998JJ00","1998",,"Definitief"
"1999JJ00","1999",,"Definitief"
"2000JJ00","2000",,"Definitief"
"2001JJ00","2001",,"Definitief"
"2002JJ00","2002",,"Definitief"
"2003JJ00","2003",,"Definitief"
"2004JJ00","2004",,"Definitief"
"2005JJ00","2005",,"Definitief"
"2006JJ00","2006",,"Definitief"
"2007JJ00","2007",,"Definitief"
"2008JJ00","2008",,"Definitief"
"2009JJ00","2009",,"Definitief"
"2010JJ00","2010",,"Definitief"
"2011JJ00","2011",,"Definitief"
"2012JJ00","2012",,"Definitief"
"2013JJ00","2013","","Definitief"
"2014JJ00","2014","","Definitief"
"2015JJ00","2015","Voorlopige cijfers.","Voorlopig"
