"ID","Geslacht","Leeftijd","Perioden","TotaalDodelijkeOngevallen_1","TotaalDodelijkeVervoersongevallen_2","Voetganger_3","Fiets_4","BromEnSnorfietsEnBrommobiel_5","GemotInvalidenvoertuigScootmobiel_6","Motorfiets_7","Personenauto_8","BestelautoVrachtauto_9","OverigOnbekend_10","AccidenteleVal_11","AccidenteleVerdrinking_12","TotaalAccidenteleVergiftiging_13","Medicijnen_14","Drugs_15","Alcohol_16","OverigOnbekend_17","TotaalOverigeDodelijkeOngevallen_18","MechanischEffect_19","RookVuurEnVlammen_20","Verstikking_21","OverigInclLaatGevolg_22","TotaalDodelijkeOngevallen_23","DodelijkeVervoersongevallen_24","AccidenteleVal_25","AccidenteleVerdrinking_26","AccidenteleVergiftigingInclOpzetOnb_27","OverigeDodelijkeOngevallen_28"
0,"1100","10000","1996JJ00","    3367","    1314","     127","     230","      98","       2","      93","     588","      26","     150","    1605","      71","     117","      21","      60","       8","      28","     260","      69","      80","      38","      73","    21.7","     8.5","    10.3","     0.5","     0.8","     1.7"
1,"1100","10000","1997JJ00","    3216","    1196","     123","     252","      80","      12","      93","     548","      30","      58","    1542","      94","     116","      20","      72","       5","      19","     268","      77","      62","      42","      87","    20.6","     7.7","     9.9","     0.6","     0.7","     1.7"
2,"1100","10000","1998JJ00","    3063","    1090","     121","     195","      81","       2","      78","     539","      17","      57","    1540","      83","     107","      28","      66","       6","       7","     243","      53","      71","      41","      78","    19.5","     6.9","     9.8","     0.5","     0.7","     1.5"
3,"1100","10000","1999JJ00","    3338","    1154","     113","     217","      96","      10","      80","     542","      37","      59","    1736","      91","     110","      14","      75","       7","      14","     247","      59","      66","      46","      76","    21.1","     7.3","    11.0","     0.6","     0.7","     1.6"
4,"1100","10000","2000JJ00","    3315","    1123","     101","     222","     102","       6","      89","     500","      53","      50","    1675","     107","     138","      24","      84","      10","      20","     272","      84","      66","      47","      75","    20.8","     7.1","    10.5","     0.7","     0.9","     1.7"
5,"1100","10000","2001JJ00","    3641","    1030","     109","     212","      73","       7","      79","     455","      51","      44","    2084","      85","     143","      21","      99","       6","      17","     299","      67","      68","      51","     113","    22.7","     6.4","    13.0","     0.5","     0.9","     1.9"
6,"1100","10000","2002JJ00","    3403","    1055","      99","     182","      87","      12","      98","     474","      43","      60","    1830","     115","     142","      37","      62","      19","      24","     261","      47","      58","      44","     112","    21.1","     6.5","    11.3","     0.7","     0.9","     1.6"
7,"1100","10000","2003JJ00","    3606","    1087","      95","     211","      87","      11","      92","     468","      58","      65","    1957","      87","     156","      45","      75","      21","      15","     319","      60","      53","      67","     139","    22.2","     6.7","    12.1","     0.5","     1.0","     2.0"
8,"1100","10000","2004JJ00","    3397","     878","      73","     175","      56","      28","      88","     392","      20","      46","    1839","      96","     182","      45","      95","      19","      23","     402","      50","      42","      80","     230","    20.9","     5.4","    11.3","     0.6","     1.1","     2.5"
9,"1100","10000","2005JJ00","    3486","     802","      80","     177","      59","      16","      74","     325","      22","      49","    1961","      93","     150","      37","      80","      15","      18","     480","      59","      67","      79","     275","    21.4","     4.9","    12.0","     0.6","     0.9","     2.9"
10,"1100","10000","2006JJ00","    3596","     789","      67","     209","      64","      21","      56","     305","      26","      41","    2018","      88","     131","      35","      75","      13","       8","     570","      52","      62","      88","     368","    22.0","     4.8","    12.3","     0.5","     0.8","     3.5"
11,"1100","10000","2007JJ00","    3606","     799","      88","     189","      68","      13","      66","     297","      42","      36","    2019","      76","     124","      28","      74","      15","       7","     588","      47","      31","      91","     419","    22.0","     4.9","    12.3","     0.5","     0.8","     3.6"
12,"1100","10000","2008JJ00","    3723","     726","      55","     174","      52","      22","      63","     291","      35","      34","    2093","      77","     161","      41","      88","      19","      13","     666","      41","      57","      98","     470","    22.6","     4.4","    12.7","     0.5","     1.0","     4.0"
13,"1100","10000","2009JJ00","    3831","     715","      64","     181","      55","      13","      64","     277","      23","      38","    2217","      81","     177","      41","     103","      14","      19","     641","      51","      37","      97","     456","    23.2","     4.3","    13.4","     0.5","     1.1","     3.9"
14,"1100","10000","2010JJ00","    3877","     710","      67","     155","      43","      18","      58","     225","      21","     123","    2303","      80","     121","      25","      69","      13","      14","     663","      41","      39","     103","     480","    23.3","     4.3","    13.9","     0.5","     0.7","     4.0"
15,"1100","10000","2011JJ00","    3941","     696","      68","     197","      45","      29","      52","     229","      21","      55","    2420","      74","     139","      32","      78","      11","      18","     612","      52","      25","      65","     470","    23.6","     4.2","    14.5","     0.4","     0.8","     3.7"
16,"1100","10000","2012JJ00","    4332","     684","      64","     204","      48","      23","      53","     232","      17","      43","    2795","      81","     147","      32","      87","       7","      21","     625","      45","      28","      47","     505","    25.9","     4.1","    16.7","     0.5","     0.9","     3.7"
17,"1100","10000","2013JJ00","    4343","     589","      52","     186","      51","      35","      29","     177","      21","      38","    2884","      84","     149","      36","      90","      13","      10","     637","      53","      39","      42","     503","    25.8","     3.5","    17.2","     0.5","     0.9","     3.8"
